,Day Start,Check In,Check Out,Day End,Pet Occupancy,Kennel Occupancy,Daycare,Daycare Pet Occupancy,Grooming
Average,73,16,17,72,26%,60%,19,33%,4
Sun 7/12/2025,78,10,19,69,24%,58%,-,-,-
Mon 7/13/2025,69,15,31,53,19%,45%,24,43,-
Tue 7/14/2025,53,10,10,53,19%,44%,41,72,7
Wed 7/15/2025,53,14,2,65,23%,55%,38,67,8
Thu 7/16/2025,65,24,14,75,26%,64%,32,57,-
Fri 7/17/2025,75,31,9,97,34%,81%,33,58,-
Sat 7/18/2025,97,19,17,99,34%,84%,-,-,8
Sun 7/19/2025,99,8,22,85,30%,72%,-,-,-
Mon 7/20/2025,85,17,39,63,22%,51%,21,37,-
Tue 7/21/2025,63,12,11,64,22%,51%,8,15,10
Wed 7/22/2025,64,14,13,65,23%,52%,7,13,10
